861,675,568,X,Y
973,793,704,-60,40
1028,855,775,-50,40
1064,903,833,-40,40
1093,949,891,-30,40
1111,985,937,-20,40
1125,1013,981,-10,40
1134,1043,1017,0,40
1139,1065,1057,10,40
1146,1086,1098,20,40
1152,1114,1150,30,40
1147,1111,1182,40,40
1156,1138,1261,50,40
1156,1140,1330,60,40
1027,846,763,-60,30
1056,880,803,-50,30
1085,923,856,-40,30
1102,958,898,-30,30
1116,984,936,-20,30
1127,1019,978,-10,30
1138,1047,1018,0,30
1145,1065,1053,10,30
1155,1101,1108,20,30
1158,1119,1146,30,30
1152,1127,1183,40,30
1156,1147,1239,50,30
1156,1147,1279,60,30
1075,888,809,-60,20
1089,912,841,-50,20
1102,945,875,-40,20
1118,972,914,-30,20
1126,997,946,-20,20
1136,1026,986,-10,20
1143,1055,1020,0,20
1150,1081,1059,10,20
1152,1101,1091,20,20
1156,1119,1127,30,20
1158,1142,1168,40,20
1154,1149,1199,50,20
1151,1151,1217,60,20
1113,918,842,-60,10
1123,944,870,-50,10
1132,970,900,-40,10
1137,987,923,-30,10
1141,1017,958,-20,10
1142,1036,983,-10,10
1148,1063,1014,0,10
1155,1099,1059,10,10
1152,1113,1084,20,10
1150,1131,1108,30,10
1157,1154,1141,40,10
1152,1167,1168,50,10
1151,1171,1185,60,10
1159,951,872,-60,0
1161,968,892,-50,0
1157,980,910,-40,0
1154,1002,933,-30,0
1155,1026,961,-20,0
1158,1055,995,-10,0
1158,1082,1023,0,0
1161,1107,1052,10,0
1154,1123,1071,20,0
1156,1147,1100,30,0
1151,1161,1117,40,0
1154,1183,1143,50,0
1155,1201,1159,60,0
1203,969,896,-60,-10
1195,982,909,-50,-10
1185,1001,929,-40,-10
1182,1021,953,-30,-10
1174,1041,973,-20,-10
1172,1067,1002,-10,-10
1162,1081,1014,0,-10
1165,1114,1049,10,-10
1162,1138,1072,20,-10
1162,1166,1099,30,-10
1158,1184,1113,40,-10
1155,1206,1126,50,-10
1156,1228,1140,60,-10
1248,990,917,-60,-20
1225,998,924,-50,-20
1206,1007,933,-40,-20
1200,1034,959,-30,-20
1186,1048,977,-20,-20
1182,1073,1004,-10,-20
1167,1090,1013,0,-20
1166,1120,1045,10,-20
1167,1153,1069,20,-20
1160,1177,1085,30,-20
1157,1206,1102,40,-20
1160,1240,1120,50,-20
1154,1260,1124,60,-20
1297,997,921,-60,-30
1261,1008,934,-50,-30
1234,1021,949,-40,-30
1215,1036,964,-30,-30
1197,1054,979,-20,-30
1184,1077,998,-10,-30
1177,1098,1018,0,-30
1171,1128,1041,10,-30
1159,1148,1052,20,-30
1161,1185,1075,30,-30
1159,1220,1090,40,-30
1159,1268,1112,50,-30
1156,1308,1114,60,-30
1343,1005,929,-60,-40
1287,1010,936,-50,-40
1250,1020,947,-40,-40
1218,1037,960,-30,-40
1201,1057,980,-20,-40
1190,1081,998,-10,-40
1173,1099,1011,0,-40
1170,1133,1039,10,-40
1165,1164,1058,20,-40
1163,1199,1074,30,-40
1160,1234,1086,40,-40
1156,1283,1097,50,-40
1158,1368,1113,60,-40
